Mazowieckie,5349114,35558
Slaskie,4570849,12333
Wielkopolskie,3475323,29826
Malopolskie,3372618,15183
Dolnoslaskie,2904207,19947
Lodzkie,2493603,18219
Pomorskie,2307710,18310
Lubelskie,2139726,25122
Podkarpackie,2127657,17846
Kujawsko-pomorskie,2086210,17972
Zachodniopomorskie,1710482,22892
Warminsko-mazurskie,1439675,24173
Swietokrzyskie,1257179,11711
Podlaskie,1188800,20187
Lubuskie,1018075,13988
Opolskie,996011,9412
