Mazowieckie        ;5349114
Sląskie               ;4570849
Wielkopolskie     ;3475323
Malopolskie           ;3372618
Dolnosląskie       ;2904207
Lodzkie               ;2493603
Pomorskie         ;2307710
Lubelskie          ;2139726
Podkarpackie      ;2127657
Kujawsko-pomorskie ;2086210
Zachodniopomorskie ;1710482
Warminsko-mazurskie;1439675
Swietokrzyskie    ;1257179
Podlaskie         ;1188800
Lubuskie          ;1018075
Opolskie          ;996011
